season,player,player_id,name_key,team_norm,team_name,grades_run_block,snap_counts_run_block,season_max_te_run_block_snaps,eligible_te_run_block,te_run_block_grade_percentile,te_run_block_volume_factor,te_run_block_base_war_bump,te_run_block_war_adjustment,te_run_block_epa_adjustment,source_run_block_file
2022,Jacob Hollister,12051,j_hollister,LV,LV,60.1,6,457,False,,0.0,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Jesper Horsted,91465,j_horsted,LV,LV,63.2,23,457,False,,0.0,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Cethan Carter,47149,c_carter,MIA,MIA,60.0,1,457,False,,0.0,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Durham Smythe,47257,d_smythe,MIA,MIA,64.2,314,457,True,0.8252427184466019,0.687089715536105,0.2,0.137417943107221,6.183807439824945,offense_run_blockng (3).csv
2022,Hunter Long,60859,h_long,MIA,MIA,58.6,62,457,True,0.5436893203883495,0.13566739606126915,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Mike Gesicki,47153,m_gesicki,MIA,MIA,42.3,84,457,True,0.07766990291262135,0.1838074398249453,-0.1,-0.01838074398249453,-0.8271334792122539,offense_run_blockng (3).csv
2022,Tanner Conner,22777,t_conner,MIA,MIA,61.2,12,457,False,,0.0,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Ben Ellefson,27766,b_ellefson,MIN,MIN,58.9,24,457,False,,0.0,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Irv Smith Jr.,42060,i_smith,MIN,MIN,56.2,75,457,True,0.46116504854368934,0.16411378555798686,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Johnny Mundt,12206,j_mundt,MIN,MIN,50.7,250,457,True,0.3058252427184466,0.5470459518599562,-0.05,-0.02735229759299781,-1.2308533916849016,offense_run_blockng (3).csv
2022,T.J. Hockenson,40912,t_hockenson,MIN,MIN,58.2,327,457,True,0.5339805825242718,0.7155361050328227,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Hunter Henry,10669,h_henry,NE,NE,48.3,310,457,True,0.22330097087378642,0.6783369803063457,-0.1,-0.06783369803063458,-3.052516411378556,offense_run_blockng (3).csv
2022,Jonnu Smith,11855,j_smith,NE,NE,32.4,211,457,True,0.019417475728155338,0.4617067833698031,-0.1,-0.04617067833698031,-2.077680525164114,offense_run_blockng (3).csv
2022,Matt Sokol,47123,m_sokol,NE,NE,50.6,20,457,False,,0.0,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Scotty Washington,47964,s_washington,NE,NE,56.5,8,457,False,,0.0,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Adam Trautman,109795,a_trautman,NO,NO,61.1,316,457,True,0.6699029126213593,0.6914660831509847,0.06,0.04148796498905908,1.8669584245076587,offense_run_blockng (3).csv
2022,J.P. Holtz,11062,j_holtz,NO,NO,29.7,67,457,True,0.009708737864077669,0.14660831509846828,-0.1,-0.014660831509846829,-0.6597374179431073,offense_run_blockng (3).csv
2022,Juwan Johnson,28305,j_johnson,NO,NO,54.1,243,457,True,0.39805825242718446,0.5317286652078774,-0.05,-0.026586433260393873,-1.1963894967177242,offense_run_blockng (3).csv
2022,Lucas Krull,83962,l_krull,NO,NO,55.5,2,457,False,,0.0,0.0,0.0,0.0,offense_run_blockng (3).csv
2022,Taysom Hill,12112,t_hill,NO,NO,60.6,74,457,True,0.6504854368932039,0.16192560175054704,0.06,0.009715536105032823,0.43719912472647704,offense_run_blockng (3).csv
2022,Chris Myarick,47358,c_myarick,NYG,NYG,65.1,184,457,True,0.8786407766990292,0.4026258205689278,0.2,0.08052516411378557,3.623632385120351,offense_run_blockng (3).csv
2022,Daniel Bellinger,84041,d_bellinger,NYG,NYG,63.3,286,457,True,0.8155339805825242,0.6258205689277899,0.2,0.125164113785558,5.63238512035011,offense_run_blockng (3).csv
2022,Lawrence Cager,34914,l_cager,NYG,NYG,59.5,108,457,True,0.5679611650485437,0.2363238512035011,0.0,0.0,0.0,offense_run_blockng (3).csv
