season,player_id,player_name,team,teams,unit,position_group,war_model,raw_epa,final_epa,raw_war,final_war,rank,volume,volume_type,efficiency,success_rate,source_file,model_version,player_key,pff_player_name,grades_run_block,snap_counts_run_block,season_max_te_run_block_snaps,eligible_te_run_block,te_run_block_grade_percentile,te_run_block_volume_factor,te_run_block_base_war_bump,te_run_block_war_adjustment,te_run_block_epa_adjustment,is_te_pff_match,final_war_pre_te_block_adj,final_epa_pre_te_block_adj
2022,00-0036275,D.Swift,DET,DET,Skill,RB,Role-Adjusted Skill WAR,14.673554276608687,30.17833626138465,0.3260789839246375,0.6706296946974367,31,170.0,opportunities,0.0863150251565217,0.4117647058823529,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0036275,,,,,,,0.0,0.0,0.0,0.0,False,0.6706296946974367,30.17833626138465
2022,00-0034750,R.Penny,SEA,SEA,Skill,RB,Role-Adjusted Skill WAR,14.213625509291887,29.71840749406785,0.3158583446509308,0.6604090554237301,32,62.0,opportunities,0.2292520243434175,0.4193548387096774,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0034750,,,,,,,0.0,0.0,0.0,0.0,False,0.6604090554237301,29.71840749406785
2022,00-0033881,E.Engram,JAX,JAX,Skill,Pass Catcher,Role-Adjusted Skill WAR,34.26395132783294,31.275271375200617,0.7614211406185099,0.6950060305600136,29,103.0,opportunities,0.332659721629446,0.5922330097087378,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0033881,Evan Engram,60.1,321.0,457.0,True,0.6116504854368932,0.7024070021881839,0.06,0.04214442013129103,1.8964989059080963,True,0.6528616104287226,29.37877246929252
2022,00-0033555,M.Hollins,LV,LV,Skill,Pass Catcher,Role-Adjusted Skill WAR,33.59367910729884,28.70850024875841,0.7465262023844187,0.6379666721946314,33,98.0,opportunities,0.3427926439520289,0.5306122448979592,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0033555,,,,,,,0.0,0.0,0.0,0.0,False,0.6379666721946314,28.70850024875841
2022,00-0038120,Br.Hall,NYJ,NYJ,Skill,RB,Role-Adjusted Skill WAR,12.45641737802972,27.961199362805683,0.2768092750673271,0.6213599858401263,34,111.0,opportunities,0.1122199763786461,0.3963963963963964,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0038120,,,,,,,0.0,0.0,0.0,0.0,False,0.6213599858401263,27.961199362805683
2022,00-0036360,C.Edwards-Helaire,KC,KC,Skill,RB,Role-Adjusted Skill WAR,12.226533456865582,27.731315441641545,0.2717007434859018,0.616251454258701,35,94.0,opportunities,0.1300695048602721,0.4574468085106383,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0036360,,,,,,,0.0,0.0,0.0,0.0,False,0.616251454258701,27.731315441641545
2022,00-0033536,M.Williams,LAC,LAC,Skill,Pass Catcher,Role-Adjusted Skill WAR,31.584319500410423,26.699140641869995,0.7018737666757872,0.5933142364859999,36,93.0,opportunities,0.3396163387140906,0.5806451612903226,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0033536,,,,,,,0.0,0.0,0.0,0.0,False,0.5933142364859999,26.699140641869995
2022,00-0037740,G.Wilson,NYJ,NYJ,Skill,Pass Catcher,Role-Adjusted Skill WAR,31.253244200288563,26.36806534174813,0.6945165377841903,0.5859570075944031,37,151.0,opportunities,0.2069751271542289,0.4834437086092715,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0037740,,,,,,,0.0,0.0,0.0,0.0,False,0.5859570075944031,26.36806534174813
2022,00-0034775,C.Kirk,JAX,JAX,Skill,Pass Catcher,Role-Adjusted Skill WAR,31.15239679976829,26.267217941227862,0.6922754844392953,0.5837159542495081,38,139.0,opportunities,0.224117962588261,0.5179856115107914,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0034775,,,,,,,0.0,0.0,0.0,0.0,False,0.5837159542495081,26.267217941227862
2022,00-0035261,T.Pollard,DAL,DAL,Skill,RB,Role-Adjusted Skill WAR,10.761859559489976,26.26664154426594,0.2391524346553328,0.5837031454281321,39,248.0,opportunities,0.0433945949979434,0.4193548387096774,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0035261,,,,,,,0.0,0.0,0.0,0.0,False,0.5837031454281321,26.26664154426594
2022,00-0037248,J.Cook,BUF,BUF,Skill,RB,Role-Adjusted Skill WAR,10.373611959748354,25.87839394452432,0.2305247102166301,0.5750754209894293,40,121.0,opportunities,0.0857323302458541,0.4628099173553719,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0037248,,,,,,,0.0,0.0,0.0,0.0,False,0.5750754209894293,25.87839394452432
2022,00-0033699,A.Ekeler,LAC,LAC,Skill,RB,Role-Adjusted Skill WAR,10.011864729369332,25.516646714145296,0.222485882874874,0.5670365936476732,41,331.0,opportunities,0.0302473254663726,0.4350453172205438,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0033699,,,,,,,0.0,0.0,0.0,0.0,False,0.5670365936476732,25.516646714145296
2022,00-0033293,A.Jones,GB,GB,Skill,RB,Role-Adjusted Skill WAR,9.822724559784945,25.327506544560904,0.2182827679952209,0.5628334787680201,42,286.0,opportunities,0.0343451907684788,0.4475524475524475,skill_war_2022_2024.csv,offensive_war_v1_2022_2025,00-0033293,,,,,,,0.0,0.0,0.0,0.0,False,0.5628334787680201,25.327506544560904
