season,player_id,player_name,position_group,receiving_epa,targets,receptions,receiving_successes,receiving_yards,receiving_tds,air_epa,yac_epa,air_yards,yards_after_catch,primary_team,teams,rushing_epa,carries,rushing_successes,rushing_yards,rushing_tds,total_epa,opportunities,touches,total_successes,war,epa_per_opportunity,epa_per_touch,success_rate,qualified_skill,raw_war_rank,qualified_war_rank,role_replacement_war,role_replacement_epa,raw_skill_war,raw_skill_epa,role_adjusted_skill_war,role_adjusted_skill_epa,role_adjusted_skill_war_rank,team,pff_player_name,grades_run_block,snap_counts_run_block,season_max_te_run_block_snaps,eligible_te_run_block,te_run_block_grade_percentile,te_run_block_volume_factor,te_run_block_base_war_bump,te_run_block_war_adjustment,te_run_block_epa_adjustment,is_te_pff_match,role_adjusted_skill_war_pre_te_block_adj,role_adjusted_skill_epa_pre_te_block_adj,war_pre_te_block_adj,total_epa_pre_te_block_adj
2022,00-0033891,Z.Jones,Pass Catcher,41.48386222549859,122.0,82.0,68.0,836.0,5.0,80.96111249382375,-40.53025026832516,1018.0,293.0,JAX,JAX,0.5186655742581934,4.0,2.0,18.0,0.0,42.002527799756784,126.0,86.0,70.0,0.933389506661262,0.333353395236165,0.4884014860436835,0.5555555555555556,True,18,18,0.1085595301897872,4.885178858540427,0.933389506661262,42.002527799756784,0.8248299764714746,37.11734894121636,22,,,,,,,,0.0,0.0,0.0,0.0,False,0.8248299764714746,37.11734894121636,0.933389506661262,42.002527799756784
2022,00-0033288,G.Kittle,Pass Catcher,39.60728645684706,86.0,60.0,47.0,765.0,11.0,43.86183964913058,-4.254553192283517,550.0,386.0,SF,SF,0.0,0.0,0.0,0.0,0.0,52.33923394043568,86.0,60.0,47.0,1.1630940875652374,0.4605498425214774,0.6601214409474511,0.5465116279069767,True,19,19,0.1085595301897872,4.885178858540427,0.8801619212632681,39.60728645684706,1.05453455737545,47.45405508189526,12,,George Kittle,69.5,431.0,457.0,True,0.9514563106796117,0.9431072210065645,0.3,0.2829321663019693,12.73194748358862,True,0.7716023910734808,34.72210759830664,0.8801619212632681,39.60728645684706
2022,00-0037228,J.Warren,RB,10.61117214391395,33.0,28.0,17.0,214.0,0.0,-29.31034044577973,39.92151258969368,-16.0,225.0,PIT,PIT,8.390191187240065,77.0,32.0,379.0,1.0,19.001363331154018,110.0,105.0,49.0,0.4222525184700892,0.1727396666468547,0.1809653650586097,0.4454545454545454,True,67,61,-0.3445507107727992,-15.504781984775963,0.4222525184700892,19.001363331154018,0.7668032292428885,34.506145315929984,24,,,,,,,,0.0,0.0,0.0,0.0,False,0.7668032292428885,34.506145315929984,0.4222525184700892,19.001363331154018
2022,00-0037263,T.Allgeier,RB,7.1253192272852175,17.0,16.0,9.0,139.0,1.0,-15.869242918095551,22.99456214538077,-32.0,168.0,ATL,ATL,11.342579630698204,211.0,91.0,1037.0,3.0,18.46789885798342,228.0,227.0,100.0,0.4103977523996315,0.0809995563946641,0.0813563826342882,0.4385964912280701,True,69,63,-0.3445507107727992,-15.504781984775963,0.4103977523996315,18.46789885798342,0.7549484631724308,33.97268084275939,25,,,,,,,,0.0,0.0,0.0,0.0,False,0.7549484631724308,33.97268084275939,0.4103977523996315,18.46789885798342
2022,00-0032211,T.Lockett,Pass Catcher,38.25288152779135,117.0,84.0,73.0,1033.0,9.0,101.02411773864878,-62.77123621085744,1242.0,272.0,SEA,SEA,0.0,0.0,0.0,0.0,0.0,38.25288152779135,117.0,84.0,73.0,0.8500640339509188,0.326947705365738,0.4553914467594208,0.6239316239316239,True,20,20,0.1085595301897872,4.885178858540427,0.8500640339509188,38.25288152779135,0.7415045037611315,33.36770266925092,26,,,,,,,,0.0,0.0,0.0,0.0,False,0.7415045037611315,33.36770266925092,0.8500640339509188,38.25288152779135
2022,00-0034960,J.Meyers,Pass Catcher,37.04514405601074,98.0,67.0,51.0,806.0,6.0,71.57162522966973,-34.632481173658995,950.0,238.0,NE,NE,1.038892696844414,2.0,2.0,9.0,0.0,38.08403675285516,100.0,69.0,53.0,0.8463119278412257,0.3808403675285515,0.551942561635582,0.53,True,21,21,0.1085595301897872,4.885178858540427,0.8463119278412257,38.08403675285516,0.7377523976514384,33.19885789431473,27,,,,,,,,0.0,0.0,0.0,0.0,False,0.7377523976514384,33.19885789431473,0.8463119278412257,38.08403675285516
2022,00-0038124,C.Watson,Pass Catcher,30.71060199712872,66.0,41.0,35.0,611.0,7.0,72.99230583471945,-42.281703837590726,923.0,264.0,GB,GB,6.649839835474268,7.0,5.0,80.0,2.0,37.36044183260299,73.0,48.0,40.0,0.8302320407245108,0.511786874419219,0.7783425381792289,0.547945205479452,True,22,22,0.1085595301897872,4.885178858540427,0.8302320407245108,37.36044183260299,0.7216725105347236,32.47526297406256,28,,,,,,,,0.0,0.0,0.0,0.0,False,0.7216725105347236,32.47526297406256,0.8302320407245108,37.36044183260299
2022,00-0035535,D.Slayton,Pass Catcher,35.254165374586414,71.0,46.0,38.0,724.0,2.0,62.06433623243356,-26.810170857847147,884.0,262.0,NYG,NYG,0.0,0.0,0.0,0.0,0.0,35.254165374586414,71.0,46.0,38.0,0.7834258972130315,0.4965375404871326,0.7663948994475307,0.5352112676056338,True,24,23,0.1085595301897872,4.885178858540427,0.7834258972130315,35.254165374586414,0.6748663670232442,30.368986516045982,30,,,,,,,,0.0,0.0,0.0,0.0,False,0.6748663670232442,30.368986516045982,0.7834258972130315,35.254165374586414
2022,00-0036275,D.Swift,RB,8.104379366221766,70.0,48.0,29.0,375.0,3.0,-41.2755470861448,49.37992645236656,32.0,440.0,DET,DET,6.569174910386924,100.0,41.0,544.0,5.0,14.673554276608687,170.0,148.0,70.0,0.3260789839246375,0.0863150251565217,0.0991456370041127,0.4117647058823529,True,80,69,-0.3445507107727992,-15.504781984775963,0.3260789839246375,14.673554276608687,0.6706296946974367,30.17833626138465,31,,,,,,,,0.0,0.0,0.0,0.0,False,0.6706296946974367,30.17833626138465,0.3260789839246375,14.673554276608687
2022,00-0034750,R.Penny,RB,1.0691364296362735,5.0,4.0,3.0,16.0,0.0,-7.129533305647783,8.198669735284057,-12.0,28.0,SEA,SEA,13.144489079655614,57.0,23.0,346.0,2.0,14.213625509291887,62.0,61.0,26.0,0.3158583446509308,0.2292520243434175,0.2330102542506866,0.4193548387096774,True,82,70,-0.3445507107727992,-15.504781984775963,0.3158583446509308,14.213625509291887,0.6604090554237301,29.71840749406785,32,,,,,,,,0.0,0.0,0.0,0.0,False,0.6604090554237301,29.71840749406785,0.3158583446509308,14.213625509291887
2022,00-0033881,E.Engram,Pass Catcher,33.7919223110723,101.0,73.0,60.0,768.0,4.0,23.80224107170943,10.830681239362866,614.0,465.0,JAX,JAX,0.4720290167606435,2.0,1.0,13.0,0.0,36.16045023374104,103.0,75.0,61.0,0.8035655607498009,0.332659721629446,0.4568526843711059,0.5922330097087378,True,25,24,0.1085595301897872,4.885178858540427,0.7614211406185099,34.26395132783294,0.6950060305600136,31.275271375200617,29,,Evan Engram,60.1,321.0,457.0,True,0.6116504854368932,0.7024070021881839,0.06,0.04214442013129103,1.8964989059080963,True,0.6528616104287226,29.37877246929252,0.7614211406185099,34.26395132783294
2022,00-0033555,M.Hollins,Pass Catcher,31.43468787536654,94.0,57.0,49.0,690.0,5.0,109.97241399865015,-78.53772612328362,1196.0,192.0,LV,LV,2.158991231932305,4.0,3.0,40.0,0.0,33.59367910729884,98.0,61.0,52.0,0.7465262023844187,0.3427926439520289,0.5507160509393253,0.5306122448979592,True,26,25,0.1085595301897872,4.885178858540427,0.7465262023844187,33.59367910729884,0.6379666721946314,28.70850024875841,33,,,,,,,,0.0,0.0,0.0,0.0,False,0.6379666721946314,28.70850024875841,0.7465262023844187,33.59367910729884
2022,00-0038120,Br.Hall,RB,-1.4326923048441054,31.0,19.0,11.0,218.0,1.0,-2.560619390598731,1.1279270857546244,152.0,166.0,NYJ,NYJ,13.889109682873825,80.0,33.0,463.0,4.0,12.45641737802972,111.0,99.0,44.0,0.2768092750673271,0.1122199763786461,0.1258223977578759,0.3963963963963964,True,95,78,-0.3445507107727992,-15.504781984775963,0.2768092750673271,12.45641737802972,0.6213599858401263,27.961199362805683,34,,,,,,,,0.0,0.0,0.0,0.0,False,0.6213599858401263,27.961199362805683,0.2768092750673271,12.45641737802972
